"ID","Start time","Completion time","Email","Name","Last modified time","Question","Response"
"1","45391.5819212963","45391.5835185185","anonymous",,,"What impact do you think AI/LLMs (ChatGPT, GROK, etc..) will have on the Technology industry?","Repetitive and simple tasks will become easier, and be automated more easily."
"1","45391.5819212963","45391.5835185185","anonymous",,,"What do you think the top use case is for AI/LLMs (ChatGPT, GROK, etc..) in PowerShell scripts?","Predicting commands/scriptblocks"
"1","45391.5819212963","45391.5835185185","anonymous",,,"Why are you attending the PowerShell + DevOps Global Summit?","I'm speaking 😁"
"1","45391.5819212963","45391.5835185185","anonymous",,,"What are you most excited to learn at the PowerShell + DevOps Global Summit?","Cross platform PowerShell; I want to get more into non-Windows inventory and management."
"2","45391.5847685185","45391.5876041667","anonymous",,,"What impact do you think AI/LLMs (ChatGPT, GROK, etc..) will have on the Technology industry?","I think that LLM’s will change the way we discover information and learn new topics especially around PowerShell and code"
"2","45391.5847685185","45391.5876041667","anonymous",,,"What do you think the top use case is for AI/LLMs (ChatGPT, GROK, etc..) in PowerShell scripts?","I think that the LLM’s will help accelerate coding  and the speed to develop new scripts."
"2","45391.5847685185","45391.5876041667","anonymous",,,"Why are you attending the PowerShell + DevOps Global Summit?","Im attending because I am speaking at the conference and I wanted to meet new people in the PowerShell community!"
"2","45391.5847685185","45391.5876041667","anonymous",,,"What are you most excited to learn at the PowerShell + DevOps Global Summit?","Im most excited to learn about DSC and the new features coming out for it. Im also really excited to learn more about integrating DevOps and GitHub"
"3","45391.5903819444","45391.593287037","anonymous",,,"What impact do you think AI/LLMs (ChatGPT, GROK, etc..) will have on the Technology industry?","I think that LLMs will change how we approach writing code specifically around PowerShell and how  we interact with information. I think that the main use cases will be for analyzing swaths of data and gather insights into datasets that wouldn't be humanly possible to compute/achieve."
"3","45391.5903819444","45391.593287037","anonymous",,,"What do you think the top use case is for AI/LLMs (ChatGPT, GROK, etc..) in PowerShell scripts?","Generating new stickers and memes of Steven Judd in a streamlined programmatic fashion"
"3","45391.5903819444","45391.593287037","anonymous",,,"Why are you attending the PowerShell + DevOps Global Summit?","I'm attending to the Summit to meet all the different Microsoft PM's and new people! I also want to see Steven Judd so that I get some free stickers."
"3","45391.5903819444","45391.593287037","anonymous",,,"What are you most excited to learn at the PowerShell + DevOps Global Summit?","I'm most excited to learn about the new features in the various MS tools that I use specifically for Microsoft 365 and Entra/Azure AD"
"4","45391.5937268518","45391.5995717593","anonymous",,,"What impact do you think AI/LLMs (ChatGPT, GROK, etc..) will have on the Technology industry?","AI will impact how we think about writing new PowerShell scripts as it improves its knowledge and abilities for generating new code. I think that IT admins won't go away and scripters won't go away because there will always need to be a human that validates the output from these scripts that are generated and to test things out."
"4","45391.5937268518","45391.5995717593","anonymous",,,"What do you think the top use case is for AI/LLMs (ChatGPT, GROK, etc..) in PowerShell scripts?","The biggest use case for AI in my opinion is how people analyze large data sets that aren't possible to be analyzed by humans within PowerShell. Combining the power of AI and PowerShell together can help develop scripts faster and help to write better code that future LLMs can be trained on."
"4","45391.5937268518","45391.5995717593","anonymous",,,"Why are you attending the PowerShell + DevOps Global Summit?","I'm attending the Summit to meet new people and to meet Steven Judd in person! I have a sticker of his face on the back of my laptop and want to see if I can get him to sign it."
"4","45391.5937268518","45391.5995717593","anonymous",,,"What are you most excited to learn at the PowerShell + DevOps Global Summit?","I'm most excited to learn about how I can continue to expand my PowerShell knowledge and new topics that I have not heard of before or worked with. The main example I am excited to learn about is Pester as I want to learn more about managing my cloud infrastructure and testing things out."
"5","45391.6270833333","45391.6284606481","anonymous",,,"What impact do you think AI/LLMs (ChatGPT, GROK, etc..) will have on the Technology industry?","Minimal."
"5","45391.6270833333","45391.6284606481","anonymous",,,"What do you think the top use case is for AI/LLMs (ChatGPT, GROK, etc..) in PowerShell scripts?","Data scrubbing and analytics."
"5","45391.6270833333","45391.6284606481","anonymous",,,"Why are you attending the PowerShell + DevOps Global Summit?","To get a wider idea of the potential use cases of powershell and what else I can do to leverage the many use cases."
"5","45391.6270833333","45391.6284606481","anonymous",,,"What are you most excited to learn at the PowerShell + DevOps Global Summit?","Better ways to leverage powershell to support IT operations and end user experiences."
"6","45391.6296875","45391.6303240741","anonymous",,,"What impact do you think AI/LLMs (ChatGPT, GROK, etc..) will have on the Technology industry?","Make us faster at the work we do"
"6","45391.6296875","45391.6303240741","anonymous",,,"What do you think the top use case is for AI/LLMs (ChatGPT, GROK, etc..) in PowerShell scripts?",
"6","45391.6296875","45391.6303240741","anonymous",,,"Why are you attending the PowerShell + DevOps Global Summit?","To meet with customers and understand their pain points "
"6","45391.6296875","45391.6303240741","anonymous",,,"What are you most excited to learn at the PowerShell + DevOps Global Summit?","Answered above"
"7","45391.6296990741","45391.6303240741","anonymous",,,"What impact do you think AI/LLMs (ChatGPT, GROK, etc..) will have on the Technology industry?","Make us faster at the work we do"
"7","45391.6296990741","45391.6303240741","anonymous",,,"What do you think the top use case is for AI/LLMs (ChatGPT, GROK, etc..) in PowerShell scripts?",
"7","45391.6296990741","45391.6303240741","anonymous",,,"Why are you attending the PowerShell + DevOps Global Summit?","To meet with customers and understand their pain points "
"7","45391.6296990741","45391.6303240741","anonymous",,,"What are you most excited to learn at the PowerShell + DevOps Global Summit?","Answered above"
"8","45391.6301273148","45391.6313657407","anonymous",,,"What impact do you think AI/LLMs (ChatGPT, GROK, etc..) will have on the Technology industry?","Slow down every Microsoft product groups roadmap by 12 months"
"8","45391.6301273148","45391.6313657407","anonymous",,,"What do you think the top use case is for AI/LLMs (ChatGPT, GROK, etc..) in PowerShell scripts?","Drafting docs, tests, commit messages"
"8","45391.6301273148","45391.6313657407","anonymous",,,"Why are you attending the PowerShell + DevOps Global Summit?","Support the community"
"8","45391.6301273148","45391.6313657407","anonymous",,,"What are you most excited to learn at the PowerShell + DevOps Global Summit?","What everyone is working on"
"9","45391.6296990741","45391.6331481481","anonymous",,,"What impact do you think AI/LLMs (ChatGPT, GROK, etc..) will have on the Technology industry?","Will help to get answers faster than google."
"9","45391.6296990741","45391.6331481481","anonymous",,,"What do you think the top use case is for AI/LLMs (ChatGPT, GROK, etc..) in PowerShell scripts?","Find bugs."
"9","45391.6296990741","45391.6331481481","anonymous",,,"Why are you attending the PowerShell + DevOps Global Summit?","PR and getting tech insight."
"9","45391.6296990741","45391.6331481481","anonymous",,,"What are you most excited to learn at the PowerShell + DevOps Global Summit?","I come here with an open mind and learning mindset."
"10","45391.6323611111","45391.6333680556","anonymous",,,"What impact do you think AI/LLMs (ChatGPT, GROK, etc..) will have on the Technology industry?","Huuuuge"
"10","45391.6323611111","45391.6333680556","anonymous",,,"What do you think the top use case is for AI/LLMs (ChatGPT, GROK, etc..) in PowerShell scripts?","Everything. Writing code, preforming actions on your behalf,  interface to an LLM"
"10","45391.6323611111","45391.6333680556","anonymous",,,"Why are you attending the PowerShell + DevOps Global Summit?","To learn"
"10","45391.6323611111","45391.6333680556","anonymous",,,"What are you most excited to learn at the PowerShell + DevOps Global Summit?","More DevOps"
"11","45391.6319444444","45391.6339814815","anonymous",,,"What impact do you think AI/LLMs (ChatGPT, GROK, etc..) will have on the Technology industry?","more rapid development"
"11","45391.6319444444","45391.6339814815","anonymous",,,"What do you think the top use case is for AI/LLMs (ChatGPT, GROK, etc..) in PowerShell scripts?","possibly more improvements thru more rapid data analysis"
"11","45391.6319444444","45391.6339814815","anonymous",,,"Why are you attending the PowerShell + DevOps Global Summit?","getting perspective , broadening horizons"
"11","45391.6319444444","45391.6339814815","anonymous",,,"What are you most excited to learn at the PowerShell + DevOps Global Summit?","seeing how powershell compares to other languages and just learning more"
"12","45391.6297453704","45391.6341898148","anonymous",,,"What impact do you think AI/LLMs (ChatGPT, GROK, etc..) will have on the Technology industry?","Enormous impact. It is already impacting day to day work for developers as thing like GitHub Copilot become common."
"12","45391.6297453704","45391.6341898148","anonymous",,,"What do you think the top use case is for AI/LLMs (ChatGPT, GROK, etc..) in PowerShell scripts?","Copilots during code development."
"12","45391.6297453704","45391.6341898148","anonymous",,,"Why are you attending the PowerShell + DevOps Global Summit?","To network with peers and share about how we've overcome similar challenges."
"12","45391.6297453704","45391.6341898148","anonymous",,,"What are you most excited to learn at the PowerShell + DevOps Global Summit?","How to become more secure and efficient in development and automation."
"13","45391.634837963","45391.6352777778","anonymous",,,"What impact do you think AI/LLMs (ChatGPT, GROK, etc..) will have on the Technology industry?","AI will take our jobs...maybe"
"13","45391.634837963","45391.6352777778","anonymous",,,"What do you think the top use case is for AI/LLMs (ChatGPT, GROK, etc..) in PowerShell scripts?",
"13","45391.634837963","45391.6352777778","anonymous",,,"Why are you attending the PowerShell + DevOps Global Summit?","Party"
"13","45391.634837963","45391.6352777778","anonymous",,,"What are you most excited to learn at the PowerShell + DevOps Global Summit?","How AI will take my job"
"14","45391.6319328704","45391.6353935185","anonymous",,,"What impact do you think AI/LLMs (ChatGPT, GROK, etc..) will have on the Technology industry?","It will mostly, if not, fully, industrialize the IT world and likely remove the required skills to troubleshoot or analyze problems leaving us to the beck and whim of AI to solve problems. "
"14","45391.6319328704","45391.6353935185","anonymous",,,"What do you think the top use case is for AI/LLMs (ChatGPT, GROK, etc..) in PowerShell scripts?","Simply writing a script is likely the top use case. Others may argue that it’s to explain or navigate an error or code path. "
"14","45391.6319328704","45391.6353935185","anonymous",,,"Why are you attending the PowerShell + DevOps Global Summit?","Use it as a networking opportunity and to develop or further skills I may not have. "
"14","45391.6319328704","45391.6353935185","anonymous",,,"What are you most excited to learn at the PowerShell + DevOps Global Summit?","To see Frank and Danny’s presentation! "
"15","45391.6342361111","45391.6361458333","anonymous",,,"What impact do you think AI/LLMs (ChatGPT, GROK, etc..) will have on the Technology industry?","It's going to take over the tech industry and we won't have to work in it anymore."
"15","45391.6342361111","45391.6361458333","anonymous",,,"What do you think the top use case is for AI/LLMs (ChatGPT, GROK, etc..) in PowerShell scripts?","Converting them to VBScript."
"15","45391.6342361111","45391.6361458333","anonymous",,,"Why are you attending the PowerShell + DevOps Global Summit?","Is that what this is?"
"15","45391.6342361111","45391.6361458333","anonymous",,,"What are you most excited to learn at the PowerShell + DevOps Global Summit?","How to get away from all the people."
"16","45391.6379282407","45391.6387384259","anonymous",,,"What impact do you think AI/LLMs (ChatGPT, GROK, etc..) will have on the Technology industry?","Lazy development"
"16","45391.6379282407","45391.6387384259","anonymous",,,"What do you think the top use case is for AI/LLMs (ChatGPT, GROK, etc..) in PowerShell scripts?","Documentation"
"16","45391.6379282407","45391.6387384259","anonymous",,,"Why are you attending the PowerShell + DevOps Global Summit?","Speaker"
"16","45391.6379282407","45391.6387384259","anonymous",,,"What are you most excited to learn at the PowerShell + DevOps Global Summit?","Everything"
"17","45391.6385069444","45391.6416782407","anonymous",,,"What impact do you think AI/LLMs (ChatGPT, GROK, etc..) will have on the Technology industry?","Take over repetitive work "
"17","45391.6385069444","45391.6416782407","anonymous",,,"What do you think the top use case is for AI/LLMs (ChatGPT, GROK, etc..) in PowerShell scripts?","Suggest modules for use to automate and optimize existing scripts"
"17","45391.6385069444","45391.6416782407","anonymous",,,"Why are you attending the PowerShell + DevOps Global Summit?","Get out of the house and learn new PS stuff"
"17","45391.6385069444","45391.6416782407","anonymous",,,"What are you most excited to learn at the PowerShell + DevOps Global Summit?","Learn latest tools in PowerShell"
